profile_id,reasoning,representation,operation,execution,conflict,expected_rule,expected_label,expected_action,evidence_ids,evidence_count,uncertainty,teacher_status,applied,data_origin,participant_data
P056,unknown,pass,pass,fail,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P057,unknown,pass,pass,unknown,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P058,unknown,pass,fail,pass,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P059,unknown,pass,fail,fail,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P060,unknown,pass,fail,unknown,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P061,unknown,pass,unknown,pass,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P062,unknown,pass,unknown,fail,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P063,unknown,pass,unknown,unknown,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P064,unknown,fail,pass,pass,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P065,unknown,fail,pass,fail,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P066,unknown,fail,pass,unknown,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P067,unknown,fail,fail,pass,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P068,unknown,fail,fail,fail,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P069,unknown,fail,fail,unknown,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P070,unknown,fail,unknown,pass,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P071,unknown,fail,unknown,fail,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P072,unknown,fail,unknown,unknown,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P073,unknown,unknown,pass,pass,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P074,unknown,unknown,pass,fail,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P075,unknown,unknown,pass,unknown,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P076,unknown,unknown,fail,pass,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P077,unknown,unknown,fail,fail,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P078,unknown,unknown,fail,unknown,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P079,unknown,unknown,unknown,pass,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P080,unknown,unknown,unknown,fail,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
P081,unknown,unknown,unknown,unknown,false,RU,insufficient,Collect the missing prerequisite evidence,[],0,not_probabilistically_calibrated,pending,false,deterministically_constructed,false
